"bsn","isbn","bsn-normalized","isbnnormalized"
92181,943012430,92181,"0000943012430"
92293,964308010,92293,"0000964308010"
92869,7101042422,92869,"0007101042422"
92869,9787101042429,92869,"9787101042429"
92871,7101027326,92871,"0007101027326"
92871,9787101027327,92871,"9787101027327"
95029,87728824171,95029,"0087728824171"
95029,87728861882,95029,"0087728861882"
149234,195057422,149234,"0000195057422"
149516,75010163131,149516,"0075010163131"
149547,"750101292X",149547,"750101292X"
149547,9787501012923,149547,"9787501012923"
149553,7501014132,149553,"0007501014132"
149553,9787501014132,149553,"9787501014132"
149562,7501008655,149562,"0007501008655"
149571,7501014264,149571,"0007501014264"
149571,9787501014262,149571,"9787501014262"
149573,7501009503,149573,"0007501009503"
149767,7101016251,149767,"0007101016251"
149781,7030070143,149781,"0007030070143"
149781,9787030070142,149781,"9787030070142"
149783,7501013284,149783,"0007501013284"
149783,9787501013289,149783,"9787501013289"
149795,7030128311,149795,"0007030128311"
149795,9787030128317,149795,"9787030128317"
149797,750100745414,149797,"0750100745414"
149797,"750100773X13",149797,"750100773X13"
149797,750100841815,149797,"0750100841815"
149797,75010085588,149797,"0075010085588"
149797,75010088921,149797,"0075010088921"
149797,75010089735,149797,"0075010089735"
149797,75010093332,149797,"0075010093332"
149797,75010093413,149797,"0075010093413"
149797,75010093926,149797,"0075010093926"
149797,75010094499,149797,"0075010094499"
149797,750100956211,149797,"0750100956211"
149797,75010103317,149797,"0075010103317"
149797,75010103664,149797,"0075010103664"
149797,750101041210,149797,"0750101041210"
149797,750101043912,149797,"0750101043912"
149797,750101044716,149797,"0750101044716"
149797,978750100745514,149797,"978750100745514"
149797,978750100773813,149797,"978750100773813"
149797,978750100841415,149797,"978750100841415"
149797,97875010085518,149797,"97875010085518"
149797,97875010088961,149797,"97875010088961"
149797,97875010089715,149797,"97875010089715"
149797,97875010093362,149797,"97875010093362"
149797,97875010093433,149797,"97875010093433"
149797,97875010093986,149797,"97875010093986"
149797,97875010094429,149797,"97875010094429"
149797,978750100956511,149797,"978750100956511"
149797,97875010103327,149797,"97875010103327"
149797,97875010103634,149797,"97875010103634"
149797,978750101041710,149797,"978750101041710"
149797,978750101043112,149797,"978750101043112"
149797,978750101044816,149797,"978750101044816"
168228,"884355235X",168228,"884355235X"
168540,195182669,168540,"0000195182669"
181407,571105076,181407,"0000571105076"
186668,3525530072,186668,"0003525530072"
186668,3727815191,186668,"0003727815191"
188034,195002245,188034,"0000195002245"
194473,7500419171,194473,"0007500419171"
194473,9787500419174,194473,"9787500419174"
207091,714112453,207091,"0000714112453"
207091,714112461,207091,"0000714112461"
207091,9780714112459,207091,"9780714112459"
207091,9780714112466,207091,"9780714112466"
228456,9774248589,228456,"0009774248589"
242175,891780459,242175,"0000891780459"
242315,"370013245X",242315,"370013245X"
245227,1887829601,245227,"0001887829601"
245288,9745240575,245288,"0009745240575"
245288,9789745240575,245288,"9789745240575"
246478,3805332815,246478,"0003805332815"
247879,3933925754,247879,"0003933925754"
248372,1883053900,248372,"0001883053900"
252218,"996356058X",252218,"996356058X"
252233,9607037413,252233,"0009607037413"
252814,3805309368,252814,"0003805309368"
252990,937426660,252990,"0000937426660"
253451,9644160452,253451,"0009644160452"
255013,856687529,255013,"0000856687529"
255013,856687537,255013,"0000856687537"
256547,112900062,256547,"0000112900062"
256741,241015189,256741,"0000241015189"
256808,521846013,256808,"0000521846013"
257333,195161858,257333,"0000195161858"
257333,195161866,257333,"0000195161866"
258580,2865382982,258580,"0002865382982"
260029,892368055,260029,"0000892368055"
260029,9780892368051,260029,"9780892368051"
263532,965427080,263532,"0000965427080"
276374,3406333028,276374,"0003406333028"
277769,35255397031,277769,"0035255397031"
277769,35255397382,277769,"0035255397382"
277769,35255398431,277769,"0035255398431"
277769,"372780940X1",277769,"372780940X1"
277769,37278144461,277769,"0037278144461"
277769,37278145272,277769,"0037278145272"
278304,9179160514,278304,"0009179160514"
278326,2503991203,278326,"0002503991203"
281571,856980900,281571,"0000856980900"
281730,"290326483X",281730,"290326483X"
281752,27177191561,281752,"0027177191561"
281752,27177221732,281752,"0027177221732"
282095,"887439022X",282095,"887439022X"
282776,140443622,282776,"0000140443622"
282864,3700133200,282864,"0003700133200"
283155,141014482,283155,"0000141014482"
283155,9780141014487,283155,"9780141014487"
284052,7501012857,284052,"0007501012857"
284501,7501013861,284501,"0007501013861"
284501,9787501013869,284501,"9787501013869"
284515,7030155572,284515,"0007030155572"
284515,9787030155573,284515,"9787030155573"
284526,7030103629,284526,"0007030103629"
286175,853890862,286175,"0000853890862"
288089,9654061783,288089,"0009654061783"
288562,7501014582,288562,"0007501014582"
288562,9787501014583,288562,"9787501014583"
288564,7501016909,288564,"0007501016909"
288564,9787501016907,288564,"9787501016907"
288569,7501015562,288569,"0007501015562"
288569,7501015570,288569,"0007501015570"
288569,9787501015566,288569,"9787501015566"
288569,9787501015573,288569,"9787501015573"
288583,3700100868,288583,"0003700100868"
288590,3110065673,288590,"0003110065673"
288616,3784771122,288616,"0003784771122"
288620,3774917493,288620,"0003774917493"
288623,3769615395,288623,"0003769615395"
288682,7030083776,288682,"0007030083776"
288699,3515032304,288699,"0003515032304"
288883,7030156986,288883,"0007030156986"
288883,9787030156983,288883,"9787030156983"
289836,520057910,289836,"0000520057910"
289862,520051009,289862,"0000520051009"
289863,850570247,289863,"0000850570247"
289865,7030139607,289865,"0007030139607"
289865,9787030139603,289865,"9787030139603"
289945,7501006970,289945,"0007501006970"
289945,7501006989,289945,"0007501006989"
289955,7501008981,289955,"0007501008981"
289955,"750100899X",289955,"750100899X"
289958,890054371,289958,"0000890054371"
289991,7030129164,289991,"0007030129164"
289991,9787030129161,289991,"9787030129161"
289993,7030127757,289993,"0007030127757"
289997,7030128117,289997,"0007030128117"
289997,9787030128119,289997,"9787030128119"
290419,7501011214,290419,"0007501011214"
290419,9787501011216,290419,"9787501011216"
290705,7806229981,290705,"0007806229981"
290819,7030162188,290819,"0007030162188"
290822,7501012075,290822,"0007501012075"
290822,9787501012077,290822,"9787501012077"
291730,7501008361,291730,"0007501008361"
291730,"750100837X",291730,"750100837X"
291730,9787501008360,291730,"9787501008360"
291730,9787501008377,291730,"9787501008377"
291961,"019926449X",291961,"019926449X"
291980,300111398,291980,"0000300111398"
291980,1588391728,291980,"0001588391728"
291980,1588391736,291980,"0001588391736"
292746,904887464,292746,"0000904887464"
293164,9162864475,293164,"0009162864475"
293269,7030138023,293269,"0007030138023"
293269,9787030138026,293269,"9787030138026"
294467,521604664,294467,"0000521604664"
294467,521843634,294467,"0000521843634"
294763,827600075,294763,"0000827600075"
295132,"185995975X",295132,"185995975X"
295132,9781859959756,295132,"9781859959756"
296051,1841716804,296051,"0001841716804"
296200,8870626466,296200,"0008870626466"
296662,7805193827,296662,"0007805193827"
297073,9004142525,297073,"0009004142525"
297203,7100001285,297203,"0007100001285"
298802,7532529037,298802,"0007532529037"
298802,9787532529032,298802,"9787532529032"
298889,7507720667,298889,"0007507720667"
298889,9787507720662,298889,"9787507720662"
298939,8291626308,298939,"0008291626308"
298984,2940032165,298984,"0002940032165"
300554,714110825,300554,"0000714110825"
300684,7532527816,300684,"0007532527816"
300684,9787532527816,300684,"9787532527816"
302250,7805430446,302250,"0007805430446"
302250,9787805430447,302250,"9787805430447"
305278,192116207,305278,"0000192116207"
305348,2877721892,305348,"0002877721892"
305732,876616597,305732,"0000876616597"
305732,876616600,305732,"0000876616600"
306820,"188782961X",306820,"188782961X"
306820,9781887829618,306820,"9781887829618"
307360,15750610821,307360,"0015750610821"
307360,15750610823,307360,"0015750610823"
307360,15750611392,307360,"0015750611392"
308200,"389646647X",308200,"389646647X"
308200,9783896466471,308200,"9783896466471"
308652,892368381,308652,"0000892368381"
308652,892368411,308652,"0000892368411"
310176,3937203184,310176,"0003937203184"
312025,9644262131,312025,"0009644262131"
312031,3700135521,312031,"0003700135521"
315246,1931534152,315246,"0001931534152"
315837,1842171577,315837,"0001842171577"
316093,8291626227,316093,"0008291626227"
316429,3447048425,316429,"0003447048425"
320659,6749961861,320659,"0006749961861"
320659,6749961942,320659,"0006749961942"
322605,"157506104X",322605,"157506104X"
322605,9781575061047,322605,"9781575061047"
323921,9179160468,323921,"0009179160468"
324830,226240444,324830,"0000226240444"
324830,9780226240442,324830,"9780226240442"
324984,9652660213,324984,"0009652660213"
325385,500051402,325385,"0000500051402"
328575,856981532,328575,"0000856981532"
330213,3447052791,330213,"0003447052791"
330213,3447052805,330213,"0003447052805"
330213,3447052813,330213,"0003447052813"
330213,3447052821,330213,"0003447052821"
330213,"344705283X",330213,"344705283X"
330213,9783447052795,330213,"9783447052795"
330213,9783447052801,330213,"9783447052801"
330213,9783447052818,330213,"9783447052818"
330213,9783447052825,330213,"9783447052825"
330213,9783447052832,330213,"9783447052832"
330715,1403917728,330715,"0001403917728"
331659,"975807105X",331659,"975807105X"
332417,9521013281,332417,"0009521013281"
332417,978952101328713,332417,"978952101328713"
333368,8887829292,333368,"0008887829292"
350280,521543746,350280,"0000521543746"
350280,521835860,350280,"0000521835860"
350281,521536839,350281,"0000521536839"
350281,"052183001X",350281,"052183001X"
350281,9780521536837,350281,"9780521536837"
